Sr. No.,Organizations,Brief description of Intervention,Best Practices,Reference,,
15,Diageo,"1)    Employee assistance program to provide counseling services
2)    Conduct mental wellness sessions for subordinates covering topics such as effective stress management, avoiding digital burn-out among other issues while for line managers, sessions focus on team management and promoting mental wellness across the team",·      Mental wellness sessions for subordinates as well as line managers,27,,
16,Tata Consultancy Services (TCS),"TCS offers primary following services:
1)     Regular health screening and counseling services  
2)    Regular sessions of physical activities (yoga & meditation)
3)    Stress management and sleep management sessions
4)    Deliver well-being nudges digitally to employees
5)    ‘Maitree’ is an initiative for the spouses of employees  
6)    Trained managers as “Emotional Health first aiders” to provide psychological first aid to colleagues  
7)    Involve employees in social responsibilities like community development programs","·      Regular counseling services
·      Physical activities sessions
·      Stress management and sleep management sessions promote positive health at workplace
·      Peer support system in the form of creating a pool of emotional health first-aiders
·      Use of technology to promote positive mental health 
·      The domain of welfare practices extended to outside the workplace by engaging employees in social responsibilities",38,,
17,HCL Technologies,"1)    Counseling services for employees
2)    Coaching services","·     Dedicated mental health program
Offers coaching for personal and professional development 
·      Counseling through smartphone apps, offering sessions through chatbots or one-to-one counseling sessions",39,,
18,Infosys,"1)    Health Assessment and Lifestyle Enrichment (HALE) initiative to foster employee health, quality of life, and work environment
2)    HALE Hotline – 24*7 telephone counseling services
3)    InfyTV shows through dedicated TV channel for promoting healthy lifestyles
4)    Infy Radio shows featuring interviews with doctors, mental health experts and promotes HALE’s wellbeing activities among employees
5)    Mobile app – InfyFit that includes health trackers, tools and wellness challenges
6)    Desktop app -Blink O Wink App for the employee to remind digital detox, drink water, exercise etc.",·      It has a holistic approach to promote a positive environment through collaborative care and a range of wellness management programs,40,,
19,Mahindra & Mahindra,4)    “M Happy initiative” offers counseling services through Employee Assistance Program,·      Employee counseling service,42,,
20,JSW Group,"1)    We Care program offer counseling services through Employee Assistance Program
2)    Telephone counseling services",·      Employee counseling service,42,,
21,CSS Corp,"1)    Round-the-clock employee assistance program that provides counseling services
2)    The HR chatbots automate responses to questions, accelerating resolutions
3)    Conducting virtual mindfulness sessions
4)    Digital detox to enable work-life balance","·      Use of technology to promote mental wellbeing 
·      Addressing HR-related queries
·      Digital detox",42,,
22,InMobi,"1)    Instructor-led yoga & meditation session
2)    ‘No meeting Fridays’ policy 
3)    21 additional days of well-being related leaves 
4)    Sessions by trained mental health professionals",·     Employee well-being related leaves,42,,
23,Intuit,"1)    Employee Assistance Program provides face-to-face counseling with qualified mental health experts
2)    A digital mindfulness platform through the ‘Well-Mind’ program 
3)    Offer an annual reimbursement to cover wellbeing related expenses","·     Counseling services by mental health experts
·     Use of digital platforms for promoting wellness",42,,
24,Accenture,"1)    Live Well program to provide tools, resources, and incentives for their employees to achieve physical, mental and financial health, as well as to achieve overall work-life balance and wellness goals
2)    Mental health advocates
3)    Upgraded medical insurance policy by including mental health consultancy reimbursements for employees as well as dependent family members 
4)    Provisioning healthcare services through modern treatments as well as alternative treatments such as Ayurveda and homoeopathy","·      Offers modern as well as alternative healthcare treatments
·      The Live Well program is for each employee, their spouse or domestic partner for a personal health assessment, wellness incentives and so 
·      Inclusion of mental health consultancy reimbursements for employees as well as dependent family members   
·      Peer support in terms of mental health advocates who regularly reach out to their peers",42,,
25,Thoughtworks,"1)    Basic peer-to-peer counseling sessions 
2)    Care program to support professional and personal development and well-being 
3)    One-on-one personalised counseling sessions by trained mental health professionals
4)    Focused sessions on wellness
5)    Physical activity sessions","·     Office initiatives for employees to promote openness at the workplace and discuss issues around mental health
·     Peer support services
·     Promotion of wellness and healthy lifestyles",42,,
